# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from high accuracy spot data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
 21    -13     -0.00018       0.02957
 21    -12     -0.01497       0.02968
 21    -11     -0.00970       0.02968
 21    -10      0.00008       0.02943
 21     -9     -0.01070       0.02914
 21     -8     -0.01655       0.02905
 21     -7      0.00683       0.02936
 21     -6      0.01861       0.02961
 21     -5      0.00801       0.02955
 21     -4      0.00759       0.02975
 21     -3     -0.01933       0.02957
 21     -2     -0.00467       0.02984
 21     -1      0.01223       0.02930
 21      0     -0.00017       0.02970
 21      1     -0.01387       0.02972
 21      2      0.00639       0.02963
 21      3      0.01140       0.02967
 21      4      0.01229       0.02948
 21      5     -0.00233       0.02958
 21      6     -0.02090       0.02931
 21      7     -0.00759       0.02949
 21      8      0.01663       0.02904
 21      9      0.02377       0.02927
 21     10     -0.00105       0.02939
 21     11      0.00288       0.02952
 21     12      0.00270       0.02961
 21     13      0.01200       0.02977
 21     14      0.00312       0.02941
 21     15      0.01092       0.02933
 21     16     -0.00112       0.02942
 21     17     -0.00434       0.02928
 21     18     -0.00249       0.02927
 21     19     -0.01101       0.02940
 21     20      0.01559       0.02966
 21     21      0.01389       0.02969
 22    -22     -0.02996       0.02793
 22    -21     -0.00678       0.02793
 22    -20      0.00573       0.02772
 22    -19     -0.01514       0.02744
 22    -18      0.00384       0.02746
 22    -17      0.00736       0.02764
 22    -16      0.01794       0.02765
 22    -15      0.02380       0.02787
 22    -14      0.02812       0.02798
 22    -13     -0.01526       0.02780
 22    -12     -0.00212       0.02787
 22    -11      0.01731       0.02795
 22    -10      0.00174       0.02768
 22     -9      0.00026       0.02741
 22     -8      0.01147       0.02755
 22     -7     -0.00076       0.02771
 22     -6      0.01162       0.02791
 22     -5      0.00634       0.02789
 22     -4     -0.01655       0.02793
 22     -3     -0.00789       0.02788
 22     -2      0.00005       0.02796
 22     -1      0.00150       0.02763
 22      0     -0.01636       0.02788
 22      1      0.00261       0.02802
 22      2     -0.01030       0.02781
 22      3     -0.00242       0.02803
 22      4     -0.00249       0.02767
 22      5      0.00367       0.02787
 22      6      0.00468       0.02755
 22      7     -0.01322       0.02775
 22      8     -0.00269       0.02750
 22      9      0.00646       0.02732
 22     10      0.02703       0.02759
 22     11      0.01134       0.02758
 22     12     -0.00473       0.02792
 22     13      0.00903       0.02801
 22     14      0.00393       0.02782
 22     15     -0.00103       0.02765
 22     16     -0.00625       0.02769
 22     17     -0.01101       0.02769
 22     18     -0.00275       0.02768
 22     19     -0.00418       0.02775
 22     20      0.01436       0.02760
 22     21      0.00308       0.02787
 22     22      0.00317       0.02792
 23    -23     -0.02659       0.02633
 23    -22     -0.00492       0.02632
 23    -21      0.00088       0.02610
 23    -20     -0.00209       0.02611
 23    -19     -0.00282       0.02586
 23    -18     -0.01673       0.02600
 23    -17      0.01091       0.02609
 23    -16      0.01886       0.02618
 23    -15     -0.00033       0.02637
 23    -14     -0.00214       0.02634
 23    -13     -0.00275       0.02628
 23    -12      0.01295       0.02628
 23    -11      0.00189       0.02632
 23    -10      0.00576       0.02600
 23     -9      0.01814       0.02580
 23     -8      0.00018       0.02614
 23     -7      0.00829       0.02613
 23     -6      0.00889       0.02633
 23     -5     -0.00713       0.02624
 23     -4      0.00649       0.02631
 23     -3      0.01185       0.02628
 23     -2      0.01711       0.02634
 23     -1     -0.01397       0.02608
 23      0     -0.01926       0.02630
 23      1      0.01650       0.02640
 23      2      0.00135       0.02621
 23      3     -0.00515       0.02642
 23      4     -0.00008       0.02620
 23      5     -0.00318       0.02623
 23      6      0.00487       0.02615
 23      7     -0.01665       0.02611
 23      8     -0.00454       0.02607
 23      9      0.00316       0.02591
 23     10     -0.00079       0.02586
 23     11      0.02727       0.02601
 23     12      0.01153       0.02619
 23     13     -0.00510       0.02637
 23     14      0.00312       0.02628
 23     15      0.00817       0.02620
 23     16     -0.00204       0.02611
 23     17     -0.02423       0.02610
 23     18      0.01624       0.02618
 23     19      0.00606       0.02615
 23     20      0.01069       0.02599
 23     21      0.00163       0.02612
 23     22      0.00541       0.02631
 23     23     -0.00423       0.02632
 24    -24     -0.01030       0.02499
 24    -23     -0.00241       0.02490
 24    -22     -0.00490       0.02475
 24    -21      0.01091       0.02465
 24    -20      0.00231       0.02468
 24    -19     -0.02261       0.02459
 24    -18     -0.00491       0.02461
 24    -17      0.01260       0.02459
 24    -16      0.00741       0.02483
 24    -15     -0.00605       0.02492
 24    -14     -0.00790       0.02493
 24    -13      0.01307       0.02475
 24    -12      0.01626       0.02485
 24    -11      0.01031       0.02476
 24    -10     -0.00160       0.02452
 24     -9     -0.00084       0.02459
 24     -8     -0.00401       0.02475
 24     -7      0.00631       0.02478
 24     -6      0.00160       0.02487
 24     -5      0.00957       0.02482
 24     -4      0.00575       0.02493
 24     -3      0.00780       0.02486
 24     -2     -0.00379       0.02487
 24     -1     -0.02072       0.02457
 24      0     -0.00707       0.02484
 24      1     -0.00032       0.02501
 24      2      0.01232       0.02477
 24      3      0.00065       0.02491
 24      4      0.00874       0.02475
 24      5     -0.00013       0.02473
 24      6      0.00320       0.02473
 24      7     -0.01529       0.02467
 24      8     -0.00342       0.02459
 24      9     -0.00366       0.02458
 24     10      0.00608       0.02434
 24     11      0.02063       0.02452
 24     12      0.00214       0.02472
 24     13     -0.01016       0.02490
 24     14     -0.00561       0.02483
 24     15     -0.00486       0.02478
 24     16     -0.00854       0.02478
 24     17     -0.01547       0.02478
 24     18     -0.00630       0.02472
 24     19      0.00698       0.02470
 24     20      0.01488       0.02448
 24     21      0.00362       0.02463
 24     22     -0.00500       0.02463
 24     23     -0.00210       0.02484
 24     24     -0.00968       0.02474
 25    -25      0.00105       0.02345
 25    -24     -0.00045       0.02355
 25    -23     -0.00758       0.02340
 25    -22      0.00287       0.02335
 25    -21     -0.00624       0.02332
 25    -20     -0.01688       0.02336
 25    -19     -0.00668       0.02331
 25    -18      0.00356       0.02330
 25    -17      0.01225       0.02342
 25    -16     -0.00030       0.02347
 25    -15     -0.00536       0.02358
 25    -14      0.00405       0.02354
 25    -13      0.01481       0.02346
 25    -12     -0.00366       0.02352
 25    -11     -0.00276       0.02332
 25    -10      0.00171       0.02331
 25     -9     -0.01889       0.02335
 25     -8     -0.00640       0.02341
 25     -7      0.01314       0.02346
 25     -6     -0.00609       0.02353
 25     -5     -0.00512       0.02344
 25     -4     -0.00009       0.02362
 25     -3     -0.00693       0.02348
 25     -2     -0.01693       0.02352
 25     -1     -0.00296       0.02327
 25      0      0.00080       0.02354
 25      1     -0.00199       0.02361
 25      2     -0.00508       0.02350
 25      3     -0.00474       0.02357
 25      4     -0.00238       0.02345
 25      5      0.00352       0.02349
 25      6     -0.00233       0.02340
 25      7     -0.01029       0.02344
 25      8     -0.03334       0.02334
 25      9      0.01164       0.02332
 25     10     -0.00655       0.02311
 25     11     -0.00184       0.02309
 25     12      0.01190       0.02337
 25     13      0.00415       0.02352
 25     14     -0.00419       0.02351
 25     15     -0.00231       0.02352
 25     16     -0.00365       0.02356
 25     17      0.00381       0.02350
 25     18     -0.00125       0.02341
 25     19      0.00140       0.02340
 25     20      0.00237       0.02331
 25     21      0.02038       0.02326
 25     22     -0.00000       0.02335
 25     23      0.00566       0.02340
 25     24     -0.00792       0.02353
 25     25      0.00070       0.02362
 26    -26      0.00573       0.02239
 26    -25      0.00826       0.02230
 26    -24      0.00215       0.02220
 26    -23      0.00542       0.02220
 26    -22      0.00445       0.02206
 26    -21      0.00284       0.02215
 26    -20      0.00303       0.02219
 26    -19      0.00523       0.02211
 26    -18      0.00211       0.02219
 26    -17     -0.00782       0.02227
 26    -16      0.00015       0.02231
 26    -15      0.00649       0.02239
 26    -14      0.00330       0.02229
 26    -13      0.00043       0.02228
 26    -12      0.01130       0.02215
 26    -11      0.00014       0.02212
 26    -10     -0.01060       0.02215
 26     -9     -0.01466       0.02214
 26     -8      0.00687       0.02217
 26     -7      0.00320       0.02226
 26     -6     -0.00199       0.02231
 26     -5     -0.01266       0.02226
 26     -4      0.00053       0.02236
 26     -3     -0.00209       0.02230
 26     -2      0.00105       0.02231
 26     -1     -0.00001       0.02211
 26      0      0.00390       0.02231
 26      1      0.00608       0.02240
 26      2      0.00157       0.02224
 26      3      0.00474       0.02235
 26      4     -0.00013       0.02226
 26      5      0.00255       0.02230
 26      6      0.00417       0.02217
 26      7     -0.00293       0.02224
 26      8     -0.00730       0.02225
 26      9     -0.00957       0.02216
 26     10      0.02481       0.02203
 26     11     -0.00583       0.02188
 26     12      0.00134       0.02208
 26     13      0.00396       0.02231
 26     14      0.01361       0.02227
 26     15     -0.00247       0.02226
 26     16     -0.00684       0.02234
 26     17     -0.00437       0.02229
 26     18      0.01194       0.02227
 26     19      0.00006       0.02219
 26     20      0.00912       0.02212
 26     21      0.00896       0.02211
 26     22      0.00877       0.02214
 26     23      0.00577       0.02213
 26     24     -0.00578       0.02220
 26     25     -0.00561       0.02235
 26     26      0.00790       0.02224
 27    -27      0.00354       0.02124
 27    -26     -0.00478       0.02127
 27    -25      0.00996       0.02114
 27    -24     -0.00244       0.02103
 27    -23     -0.00319       0.02105
 27    -22      0.00907       0.02104
 27    -21      0.00195       0.02106
 27    -20      0.00800       0.02105
 27    -19      0.00787       0.02108
 27    -18      0.00287       0.02117
 27    -17      0.00675       0.02115
 27    -16      0.00447       0.02119
 27    -15     -0.00158       0.02119
 27    -14      0.00012       0.02121
 27    -13      0.00613       0.02108
 27    -12      0.00497       0.02099
 27    -11     -0.00952       0.02105
 27    -10     -0.01580       0.02104
 27     -9     -0.01286       0.02112
 27     -8      0.00294       0.02114
 27     -7      0.00320       0.02111
 27     -6      0.00366       0.02123
 27     -5      0.00373       0.02120
 27     -4      0.00180       0.02117
 27     -3      0.00632       0.02121
 27     -2     -0.00947       0.02111
 27     -1     -0.00634       0.02111
 27      0      0.00467       0.02111
 27      1     -0.00505       0.02133
 27      2      0.00208       0.02107
 27      3      0.00568       0.02130
 27      4      0.01036       0.02114
 27      5     -0.00473       0.02121
 27      6     -0.00678       0.02102
 27      7      0.00214       0.02116
 27      8      0.00450       0.02110
 27      9     -0.01128       0.02103
 27     10      0.01663       0.02100
 27     11      0.01427       0.02086
 27     12      0.00223       0.02091
 27     13      0.00478       0.02114
 27     14      0.00922       0.02119
 27     15      0.00254       0.02115
 27     16      0.00631       0.02125
 27     17     -0.00109       0.02125
 27     18      0.00377       0.02114
 27     19     -0.00382       0.02113
 27     20      0.01266       0.02103
 27     21      0.01203       0.02105
 27     22     -0.00303       0.02102
 27     23     -0.00038       0.02098
 27     24     -0.00008       0.02112
 27     25     -0.01241       0.02106
 27     26      0.00901       0.02115
 27     27      0.00897       0.02115
 28    -28      0.00242       0.02014
 28    -27     -0.00535       0.02019
 28    -26      0.00647       0.02009
 28    -25      0.00301       0.02008
 28    -24     -0.00110       0.01999
 28    -23      0.01216       0.02002
 28    -22      0.01352       0.02003
 28    -21      0.00144       0.02002
 28    -20      0.00317       0.02008
 28    -19      0.00734       0.02011
 28    -18     -0.00281       0.02019
 28    -17      0.00423       0.02017
 28    -16     -0.00250       0.02014
 28    -15     -0.00022       0.02020
 28    -14     -0.00037       0.02017
 28    -13      0.00940       0.02000
 28    -12      0.00449       0.01997
 28    -11     -0.00067       0.02009
 28    -10     -0.00812       0.02006
 28     -9      0.01312       0.02010
 28     -8      0.00716       0.02012
 28     -7      0.00621       0.02004
 28     -6      0.00171       0.02025
 28     -5      0.00828       0.02009
 28     -4      0.00660       0.02021
 28     -3     -0.00290       0.02009
