# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from all spot data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
 24      0     -0.00742       0.02594
 24      1      0.02352       0.02640
 24      2      0.01618       0.02570
 24      3     -0.02009       0.02611
 24      4     -0.00233       0.02595
 24      5     -0.00872       0.02582
 24      6      0.00276       0.02574
 24      7     -0.01233       0.02555
 24      8      0.00498       0.02550
 24      9     -0.00792       0.02528
 24     10      0.01992       0.02513
 24     11      0.01478       0.02536
 24     12     -0.00521       0.02571
 24     13     -0.01347       0.02584
 24     14     -0.01437       0.02577
 24     15     -0.00522       0.02566
 24     16     -0.00729       0.02574
 24     17     -0.02637       0.02560
 24     18     -0.01626       0.02532
 24     19      0.00320       0.02555
 24     20      0.02135       0.02522
 24     21      0.02319       0.02540
 24     22      0.00701       0.02538
 24     23      0.00025       0.02535
 24     24     -0.01306       0.02566
 25    -25     -0.00332       0.02454
 25    -24      0.00505       0.02438
 25    -23     -0.00771       0.02435
 25    -22     -0.00382       0.02416
 25    -21      0.01391       0.02404
 25    -20     -0.01197       0.02407
 25    -19     -0.01169       0.02407
 25    -18     -0.01114       0.02426
 25    -17      0.01127       0.02450
 25    -16      0.00618       0.02443
 25    -15     -0.00345       0.02456
 25    -14      0.01186       0.02457
 25    -13      0.00532       0.02438
 25    -12      0.01347       0.02432
 25    -11     -0.00444       0.02410
 25    -10     -0.00201       0.02390
 25     -9     -0.01686       0.02409
 25     -8     -0.02497       0.02412
 25     -7      0.02234       0.02430
 25     -6     -0.01057       0.02469
 25     -5     -0.00671       0.02471
 25     -4     -0.00005       0.02471
 25     -3     -0.01894       0.02474
 25     -2     -0.00518       0.02493
 25     -1     -0.00172       0.02433
 25      0     -0.00324       0.02462
 25      1     -0.00125       0.02501
 25      2      0.00317       0.02443
 25      3     -0.01788       0.02474
 25      4     -0.00370       0.02471
 25      5      0.00989       0.02464
 25      6     -0.00636       0.02443
 25      7     -0.02022       0.02440
 25      8     -0.03840       0.02429
 25      9      0.01776       0.02411
 25     10     -0.01169       0.02399
 25     11      0.00619       0.02390
 25     12      0.02101       0.02425
 25     13      0.00385       0.02452
 25     14     -0.00252       0.02452
 25     15      0.00184       0.02450
 25     16     -0.01414       0.02449
 25     17      0.00431       0.02444
 25     18     -0.00071       0.02414
 25     19      0.01686       0.02425
 25     20      0.00709       0.02425
 25     21      0.01333       0.02408
 25     22      0.00316       0.02417
 25     23     -0.00950       0.02388
 25     24     -0.01095       0.02434
 25     25      0.01278       0.02470
 26    -26      0.00574       0.02349
 26    -25      0.00338       0.02325
 26    -24      0.01676       0.02312
 26    -23      0.00639       0.02315
 26    -22      0.01388       0.02295
 26    -21     -0.00184       0.02307
 26    -20      0.00599       0.02297
 26    -19     -0.01124       0.02296
 26    -18     -0.00580       0.02333
 26    -17     -0.01368       0.02325
 26    -16      0.00325       0.02329
 26    -15      0.01287       0.02346
 26    -14     -0.00287       0.02340
 26    -13      0.00564       0.02314
 26    -12      0.00362       0.02296
 26    -11     -0.00757       0.02286
 26    -10     -0.02364       0.02291
 26     -9     -0.02227       0.02292
 26     -8      0.01300       0.02304
 26     -7      0.00382       0.02316
 26     -6     -0.00373       0.02349
 26     -5     -0.00508       0.02342
 26     -4     -0.00585       0.02358
 26     -3     -0.01712       0.02348
 26     -2     -0.00595       0.02370
 26     -1      0.01308       0.02306
 26      0      0.01515       0.02346
 26      1      0.00125       0.02374
 26      2      0.01221       0.02332
 26      3      0.00792       0.02348
 26      4      0.00341       0.02348
 26      5      0.01193       0.02347
 26      6      0.00253       0.02334
 26      7      0.00634       0.02327
 26      8     -0.01279       0.02313
 26      9     -0.02193       0.02302
 26     10      0.00391       0.02283
 26     11     -0.01943       0.02273
 26     12      0.00712       0.02301
 26     13     -0.00399       0.02330
 26     14      0.01894       0.02323
 26     15     -0.00094       0.02326
 26     16      0.00785       0.02335
 26     17     -0.00689       0.02329
 26     18     -0.00129       0.02318
 26     19     -0.00209       0.02306
 26     20      0.00750       0.02308
 26     21      0.02270       0.02295
 26     22      0.01182       0.02292
 26     23      0.01060       0.02291
 26     24     -0.00572       0.02287
 26     25      0.00056       0.02318
 26     26      0.00305       0.02339
 27    -27      0.01111       0.02245
 27    -26     -0.01496       0.02232
 27    -25      0.00310       0.02197
 27    -24     -0.00849       0.02200
 27    -23     -0.00363       0.02197
 27    -22      0.00460       0.02196
 27    -21      0.00152       0.02191
 27    -20      0.01069       0.02188
 27    -19      0.00352       0.02205
 27    -18     -0.00498       0.02228
 27    -17      0.01387       0.02222
 27    -16      0.00678       0.02225
 27    -15     -0.01087       0.02229
 27    -14      0.00483       0.02226
 27    -13      0.00614       0.02200
 27    -12      0.01161       0.02188
 27    -11     -0.01085       0.02186
 27    -10     -0.00973       0.02184
 27     -9     -0.00164       0.02197
 27     -8     -0.00365       0.02192
 27     -7     -0.00827       0.02215
 27     -6      0.01080       0.02239
 27     -5     -0.00359       0.02244
 27     -4     -0.00613       0.02242
 27     -3      0.01351       0.02233
 27     -2     -0.01919       0.02253
 27     -1      0.01032       0.02202
 27      0      0.01209       0.02232
 27      1     -0.01545       0.02259
 27      2     -0.00126       0.02219
 27      3      0.00927       0.02245
 27      4      0.01549       0.02232
 27      5      0.00025       0.02231
 27      6     -0.01382       0.02218
 27      7     -0.00634       0.02226
 27      8     -0.00047       0.02210
 27      9     -0.01473       0.02194
 27     10      0.01611       0.02182
 27     11      0.01998       0.02168
 27     12     -0.00915       0.02172
 27     13      0.00370       0.02209
 27     14      0.00509       0.02211
 27     15      0.01379       0.02219
 27     16      0.01359       0.02226
 27     17     -0.00469       0.02219
 27     18      0.00013       0.02206
 27     19     -0.00843       0.02220
 27     20      0.01082       0.02195
 27     21      0.01115       0.02203
 27     22     -0.01836       0.02192
 27     23      0.01216       0.02181
 27     24     -0.00207       0.02196
 27     25     -0.01193       0.02193
 27     26      0.00531       0.02198
 27     27      0.01120       0.02225
 28    -28     -0.00230       0.02135
 28    -27     -0.00265       0.02117
 28    -26     -0.00446       0.02103
 28    -25     -0.00471       0.02104
 28    -24      0.00104       0.02098
 28    -23      0.00363       0.02105
 28    -22      0.01617       0.02100
 28    -21      0.00534       0.02088
 28    -20      0.00426       0.02107
 28    -19      0.00718       0.02112
 28    -18      0.00274       0.02130
 28    -17     -0.00352       0.02124
 28    -16     -0.00891       0.02121
 28    -15     -0.00280       0.02125
 28    -14     -0.00544       0.02123
 28    -13      0.01023       0.02091
 28    -12     -0.01274       0.02084
 28    -11     -0.00736       0.02087
 28    -10     -0.02037       0.02093
 28     -9     -0.00207       0.02092
 28     -8      0.02198       0.02104
 28     -7      0.00000       0.02114
 28     -6      0.00071       0.02137
 28     -5      0.00703       0.02134
 28     -4      0.01523       0.02130
 28     -3      0.00129       0.02133
 28     -2     -0.02152       0.02146
