# Valentine & Davies -- Global models from sparse data: A robust estimate
#                       of Earth's residual topography spectrum
#
# Spherical harmonic expansion coefficients for mean of posterior Gaussian
# Process model derived from all spot and shiptrack data.
#
# NB. This file contains only (the square root of) the diagonal elements of
#     the posterior covariance matrix. The full posterior covariance matrix
#     can be generated using the code accompaning this paper.
#
# l - spherical harmonic degree
# m - spherical harmonic order
# y - spherical harmonic expansion coefficient (y_i, eq. 12)
# s - standard error on coefficient (sqrt(Sigma_{ii}), eq. 12)
#
# l      m         y            s
 23      6      0.00602       0.01972
 23      7      0.01948       0.01933
 23      8      0.01758       0.01880
 23      9     -0.05175       0.01831
 23     10     -0.00735       0.01826
 23     11      0.03794       0.01783
 23     12     -0.00656       0.01782
 23     13      0.00183       0.01792
 23     14      0.03041       0.01767
 23     15     -0.00281       0.01762
 23     16      0.02485       0.01730
 23     17     -0.04239       0.01724
 23     18      0.00768       0.01767
 23     19      0.00197       0.01747
 23     20      0.01732       0.01764
 23     21     -0.01021       0.01763
 23     22     -0.01129       0.01735
 23     23     -0.06037       0.01762
 24    -24      0.05865       0.01686
 24    -23     -0.00535       0.01651
 24    -22      0.03265       0.01661
 24    -21      0.01690       0.01677
 24    -20     -0.01446       0.01662
 24    -19     -0.01195       0.01649
 24    -18      0.00481       0.01622
 24    -17      0.03676       0.01638
 24    -16      0.02860       0.01660
 24    -15     -0.02685       0.01661
 24    -14     -0.04136       0.01681
 24    -13      0.00748       0.01685
 24    -12      0.03748       0.01677
 24    -11     -0.01266       0.01713
 24    -10     -0.04524       0.01722
 24     -9      0.03707       0.01741
 24     -8      0.02419       0.01788
 24     -7      0.00363       0.01825
 24     -6     -0.00199       0.01876
 24     -5      0.03699       0.01927
 24     -4      0.03812       0.01931
 24     -3     -0.01252       0.01944
 24     -2      0.01087       0.01931
 24     -1     -0.05275       0.01815
 24      0      0.00104       0.01920
 24      1      0.01102       0.02026
 24      2     -0.00105       0.01921
 24      3      0.00203       0.01925
 24      4      0.00102       0.01950
 24      5      0.00307       0.01899
 24      6      0.00818       0.01875
 24      7     -0.01736       0.01838
 24      8     -0.01039       0.01788
 24      9     -0.02165       0.01746
 24     10      0.02619       0.01719
 24     11      0.02322       0.01692
 24     12      0.00419       0.01686
 24     13      0.00318       0.01684
 24     14     -0.01276       0.01684
 24     15     -0.01422       0.01660
 24     16     -0.02743       0.01643
 24     17     -0.01350       0.01632
 24     18     -0.00271       0.01640
 24     19      0.00811       0.01651
 24     20      0.01012       0.01635
 24     21      0.01921       0.01682
 24     22     -0.02441       0.01668
 24     23      0.00658       0.01631
 24     24     -0.00895       0.01663
 25    -25      0.01179       0.01585
 25    -24     -0.00481       0.01553
 25    -23      0.00997       0.01576
 25    -22      0.01163       0.01588
 25    -21      0.00899       0.01561
 25    -20      0.00184       0.01562
 25    -19     -0.04181       0.01540
 25    -18      0.00103       0.01539
 25    -17     -0.03166       0.01556
 25    -16      0.00934       0.01570
 25    -15      0.03260       0.01580
 25    -14     -0.00108       0.01590
 25    -13     -0.02109       0.01582
 25    -12      0.03229       0.01598
 25    -11      0.01271       0.01624
 25    -10     -0.00076       0.01627
 25     -9     -0.04911       0.01663
 25     -8     -0.00317       0.01699
 25     -7      0.03385       0.01737
 25     -6     -0.04550       0.01785
 25     -5     -0.05135       0.01823
 25     -4     -0.01978       0.01821
 25     -3     -0.02231       0.01833
 25     -2     -0.00167       0.01828
 25     -1     -0.01554       0.01715
 25      0      0.01362       0.01813
 25      1     -0.02721       0.01907
 25      2      0.01671       0.01813
 25      3     -0.00932       0.01812
 25      4     -0.00736       0.01843
 25      5     -0.00155       0.01807
 25      6     -0.01000       0.01774
 25      7     -0.02039       0.01751
 25      8     -0.00885       0.01707
 25      9      0.03138       0.01665
 25     10     -0.00103       0.01636
 25     11      0.01734       0.01612
 25     12      0.00610       0.01601
 25     13     -0.03035       0.01594
 25     14     -0.00693       0.01596
 25     15      0.01103       0.01589
 25     16     -0.03326       0.01561
 25     17      0.00970       0.01563
 25     18      0.00135       0.01550
 25     19      0.02002       0.01554
 25     20      0.01499       0.01567
 25     21      0.01572       0.01564
 25     22      0.00733       0.01595
 25     23     -0.01503       0.01573
 25     24     -0.00267       0.01561
 25     25      0.03182       0.01591
 26    -26     -0.00705       0.01518
 26    -25      0.00976       0.01475
 26    -24      0.02007       0.01502
 26    -23      0.01704       0.01513
 26    -22      0.02916       0.01483
 26    -21     -0.01958       0.01489
 26    -20     -0.01342       0.01473
 26    -19      0.00461       0.01458
 26    -18     -0.02775       0.01469
 26    -17     -0.00653       0.01484
 26    -16     -0.02216       0.01501
 26    -15      0.01223       0.01507
 26    -14      0.00136       0.01504
 26    -13     -0.01091       0.01507
 26    -12     -0.01241       0.01520
 26    -11      0.00824       0.01545
 26    -10     -0.02988       0.01549
 26     -9     -0.00813       0.01589
 26     -8     -0.02226       0.01621
 26     -7     -0.00895       0.01650
 26     -6      0.00385       0.01695
 26     -5      0.00636       0.01730
 26     -4     -0.01473       0.01715
 26     -3      0.01183       0.01735
 26     -2     -0.00017       0.01724
 26     -1      0.02925       0.01626
 26      0     -0.00856       0.01713
 26      1     -0.01413       0.01803
 26      2      0.01807       0.01715
 26      3      0.02417       0.01715
 26      4      0.00763       0.01741
 26      5      0.01395       0.01720
 26      6     -0.03845       0.01686
 26      7      0.01059       0.01672
 26      8     -0.00634       0.01630
 26      9     -0.03466       0.01588
 26     10      0.01866       0.01565
 26     11     -0.01023       0.01525
 26     12      0.01092       0.01530
 26     13     -0.00514       0.01509
 26     14      0.01819       0.01506
 26     15      0.00279       0.01509
 26     16     -0.00374       0.01490
 26     17     -0.02872       0.01476
 26     18      0.00358       0.01481
 26     19      0.00625       0.01468
 26     20      0.00025       0.01468
 26     21      0.05010       0.01483
 26     22      0.01430       0.01484
 26     23      0.03470       0.01508
 26     24     -0.03058       0.01483
 26     25      0.02624       0.01484
 26     26      0.03153       0.01497
 27    -27     -0.02278       0.01429
 27    -26     -0.03242       0.01421
 27    -25     -0.01827       0.01417
 27    -24     -0.02220       0.01439
 27    -23      0.01682       0.01402
 27    -22     -0.00802       0.01409
 27    -21      0.00574       0.01397
 27    -20      0.02943       0.01392
 27    -19     -0.01800       0.01397
 27    -18      0.00262       0.01401
 27    -17      0.03866       0.01413
 27    -16     -0.00287       0.01434
 27    -15     -0.01722       0.01426
 27    -14      0.01986       0.01429
 27    -13      0.02300       0.01437
 27    -12     -0.01091       0.01452
 27    -11     -0.04001       0.01472
 27    -10      0.01395       0.01481
 27     -9      0.00975       0.01523
 27     -8     -0.00236       0.01549
 27     -7     -0.03359       0.01570
 27     -6      0.01025       0.01618
 27     -5      0.00918       0.01640
 27     -4      0.00385       0.01623
 27     -3     -0.00790       0.01645
 27     -2     -0.01474       0.01631
 27     -1     -0.01641       0.01544
 27      0      0.03400       0.01621
 27      1     -0.00340       0.01705
 27      2      0.01814       0.01625
 27      3      0.00340       0.01625
 27      4      0.01634       0.01647
 27      5     -0.00350       0.01632
 27      6     -0.00346       0.01607
 27      7     -0.00338       0.01589
 27      8      0.00326       0.01559
 27      9     -0.00467       0.01513
 27     10     -0.00058       0.01494
 27     11      0.01023       0.01456
 27     12      0.00676       0.01448
 27     13      0.03292       0.01443
 27     14      0.01678       0.01425
 27     15      0.00494       0.01433
 27     16      0.02006       0.01421
 27     17     -0.01093       0.01415
 27     18     -0.00387       0.01404
 27     19     -0.00558       0.01399
 27     20      0.02839       0.01386
 27     21      0.00434       0.01403
 27     22     -0.01060       0.01416
 27     23      0.02769       0.01420
 27     24     -0.03621       0.01434
 27     25     -0.01484       0.01418
 27     26     -0.00462       0.01396
 27     27      0.01099       0.01439
 28    -28     -0.00821       0.01369
 28    -27     -0.01124       0.01323
 28    -26      0.00205       0.01355
 28    -25      0.00859       0.01368
 28    -24      0.00238       0.01347
 28    -23      0.00797       0.01342
 28    -22      0.01854       0.01336
 28    -21      0.03334       0.01323
 28    -20      0.00185       0.01333
 28    -19     -0.00564       0.01331
 28    -18     -0.01437       0.01341
 28    -17      0.01238       0.01355
 28    -16      0.01139       0.01360
 28    -15     -0.02298       0.01357
 28    -14     -0.01365       0.01364
 28    -13      0.02411       0.01372
 28    -12     -0.00602       0.01384
 28    -11     -0.01407       0.01405
 28    -10     -0.05076       0.01419
 28     -9      0.00372       0.01456
 28     -8      0.02303       0.01476
 28     -7     -0.00965       0.01498
 28     -6     -0.01045       0.01543
 28     -5      0.01489       0.01551
 28     -4      0.01745       0.01541
